vocabulary size: 223
n tunes: 26273
n train tunes: 24929.0
n validation tunes: 1344.0
min, max length 2 2000
Building the model
  number of parameters: 5872928
  layer output shapes:               #params:   output shape:
    InputLayer                       0          (64, None)
    EmbeddingLayer                   49729      (64, None, 223)
    InputLayer                       0          (64, None)
    LSTMLayer                        1508352    (64, None, 512)
    DropoutLayer                     0          (64, None, 512)
    LSTMLayer                        2100224    (64, None, 512)
    DropoutLayer                     0          (64, None, 512)
    LSTMLayer                        2100224    (64, None, 512)
    DropoutLayer                     0          (64, None, 512)
    ReshapeLayer                     0          (None, 512)
    DenseLayer                       114399     (None, 223)
Train model
1/38951 (epoch 0.003) train_loss=910.73040771 time/batch=0.70s
2/38951 (epoch 0.005) train_loss=2105.68603516 time/batch=1.73s
3/38951 (epoch 0.008) train_loss=768.05920410 time/batch=0.94s
4/38951 (epoch 0.010) train_loss=1465.60327148 time/batch=1.46s
5/38951 (epoch 0.013) train_loss=709.87738037 time/batch=0.83s
6/38951 (epoch 0.015) train_loss=605.91192627 time/batch=0.71s
7/38951 (epoch 0.018) train_loss=1898.36938477 time/batch=2.10s
8/38951 (epoch 0.021) train_loss=1825.41125488 time/batch=2.36s
9/38951 (epoch 0.023) train_loss=2584.33325195 time/batch=3.39s
10/38951 (epoch 0.026) train_loss=425.10470581 time/batch=0.87s
11/38951 (epoch 0.028) train_loss=1229.58044434 time/batch=1.32s
12/38951 (epoch 0.031) train_loss=543.80725098 time/batch=0.76s
13/38951 (epoch 0.033) train_loss=1413.60473633 time/batch=1.62s
14/38951 (epoch 0.036) train_loss=355.07730103 time/batch=0.61s
15/38951 (epoch 0.039) train_loss=1012.06530762 time/batch=1.11s
16/38951 (epoch 0.041) train_loss=828.91333008 time/batch=1.03s
17/38951 (epoch 0.044) train_loss=334.29360962 time/batch=0.48s
18/38951 (epoch 0.046) train_loss=1021.81835938 time/batch=1.15s
19/38951 (epoch 0.049) train_loss=1304.38012695 time/batch=1.57s
20/38951 (epoch 0.051) train_loss=511.75604248 time/batch=0.75s
21/38951 (epoch 0.054) train_loss=2040.43969727 time/batch=3.29s
22/38951 (epoch 0.056) train_loss=468.87606812 time/batch=0.96s
23/38951 (epoch 0.059) train_loss=1001.86004639 time/batch=1.17s
24/38951 (epoch 0.062) train_loss=791.59765625 time/batch=0.99s
25/38951 (epoch 0.064) train_loss=753.48443604 time/batch=0.92s
26/38951 (epoch 0.067) train_loss=907.09588623 time/batch=1.07s
27/38951 (epoch 0.069) train_loss=697.63659668 time/batch=0.89s
28/38951 (epoch 0.072) train_loss=451.82052612 time/batch=0.61s
29/38951 (epoch 0.074) train_loss=830.48059082 time/batch=0.96s
30/38951 (epoch 0.077) train_loss=1760.06689453 time/batch=4.30s
31/38951 (epoch 0.080) train_loss=1296.78186035 time/batch=2.00s
32/38951 (epoch 0.082) train_loss=415.49429321 time/batch=0.64s
33/38951 (epoch 0.085) train_loss=258.01956177 time/batch=0.35s
34/38951 (epoch 0.087) train_loss=550.45361328 time/batch=0.65s
35/38951 (epoch 0.090) train_loss=427.46307373 time/batch=0.55s
36/38951 (epoch 0.092) train_loss=339.21069336 time/batch=0.43s
37/38951 (epoch 0.095) train_loss=1131.04956055 time/batch=1.28s
38/38951 (epoch 0.098) train_loss=632.88891602 time/batch=0.85s
39/38951 (epoch 0.100) train_loss=223.07737732 time/batch=0.34s
40/38951 (epoch 0.103) train_loss=673.40502930 time/batch=0.76s
41/38951 (epoch 0.105) train_loss=2178.16894531 time/batch=6.93s
42/38951 (epoch 0.108) train_loss=885.31872559 time/batch=1.97s
43/38951 (epoch 0.110) train_loss=524.23156738 time/batch=0.71s
44/38951 (epoch 0.113) train_loss=721.13330078 time/batch=0.87s
45/38951 (epoch 0.116) train_loss=867.24707031 time/batch=1.05s
46/38951 (epoch 0.118) train_loss=304.71948242 time/batch=0.47s
47/38951 (epoch 0.121) train_loss=447.61486816 time/batch=0.55s
48/38951 (epoch 0.123) train_loss=486.14047241 time/batch=0.61s
49/38951 (epoch 0.126) train_loss=573.91253662 time/batch=0.70s
50/38951 (epoch 0.128) train_loss=274.97238159 time/batch=0.40s
51/38951 (epoch 0.131) train_loss=447.71014404 time/batch=0.56s
52/38951 (epoch 0.133) train_loss=815.12939453 time/batch=0.97s
53/38951 (epoch 0.136) train_loss=184.59973145 time/batch=0.33s
54/38951 (epoch 0.139) train_loss=295.50567627 time/batch=0.37s
55/38951 (epoch 0.141) train_loss=174.80941772 time/batch=0.26s
56/38951 (epoch 0.144) train_loss=171.01936340 time/batch=0.23s
57/38951 (epoch 0.146) train_loss=352.64413452 time/batch=0.44s
58/38951 (epoch 0.149) train_loss=446.22064209 time/batch=0.57s
59/38951 (epoch 0.151) train_loss=227.01721191 time/batch=0.33s
60/38951 (epoch 0.154) train_loss=506.58117676 time/batch=0.61s
61/38951 (epoch 0.157) train_loss=613.91735840 time/batch=0.74s
62/38951 (epoch 0.159) train_loss=379.71386719 time/batch=0.53s
63/38951 (epoch 0.162) train_loss=458.34680176 time/batch=0.58s
64/38951 (epoch 0.164) train_loss=616.08398438 time/batch=0.75s
65/38951 (epoch 0.167) train_loss=786.91003418 time/batch=0.96s
66/38951 (epoch 0.169) train_loss=1029.67089844 time/batch=1.26s
67/38951 (epoch 0.172) train_loss=1052.64819336 time/batch=1.28s
68/38951 (epoch 0.175) train_loss=497.47814941 time/batch=0.72s
69/38951 (epoch 0.177) train_loss=868.96679688 time/batch=1.05s
70/38951 (epoch 0.180) train_loss=520.09472656 time/batch=0.72s
71/38951 (epoch 0.182) train_loss=236.10464478 time/batch=0.36s
72/38951 (epoch 0.185) train_loss=630.19104004 time/batch=0.74s
73/38951 (epoch 0.187) train_loss=482.58715820 time/batch=0.64s
74/38951 (epoch 0.190) train_loss=640.50427246 time/batch=0.78s
75/38951 (epoch 0.193) train_loss=513.52337646 time/batch=0.67s
76/38951 (epoch 0.195) train_loss=462.72409058 time/batch=0.61s
77/38951 (epoch 0.198) train_loss=181.46899414 time/batch=0.29s
78/38951 (epoch 0.200) train_loss=863.47174072 time/batch=0.94s
79/38951 (epoch 0.203) train_loss=339.22103882 time/batch=0.51s
80/38951 (epoch 0.205) train_loss=498.47659302 time/batch=0.62s
81/38951 (epoch 0.208) train_loss=438.99990845 time/batch=0.59s
82/38951 (epoch 0.211) train_loss=607.07867432 time/batch=0.72s
83/38951 (epoch 0.213) train_loss=319.30953979 time/batch=0.45s
84/38951 (epoch 0.216) train_loss=554.44775391 time/batch=0.68s
85/38951 (epoch 0.218) train_loss=478.62066650 time/batch=0.63s
86/38951 (epoch 0.221) train_loss=717.42297363 time/batch=0.86s
87/38951 (epoch 0.223) train_loss=369.87213135 time/batch=0.53s
88/38951 (epoch 0.226) train_loss=1089.05761719 time/batch=1.26s
89/38951 (epoch 0.228) train_loss=324.45278931 time/batch=0.55s
90/38951 (epoch 0.231) train_loss=209.88356018 time/batch=0.30s
91/38951 (epoch 0.234) train_loss=406.83633423 time/batch=0.50s
92/38951 (epoch 0.236) train_loss=310.46679688 time/batch=0.43s
93/38951 (epoch 0.239) train_loss=329.80230713 time/batch=0.44s
94/38951 (epoch 0.241) train_loss=198.35598755 time/batch=0.28s
95/38951 (epoch 0.244) train_loss=874.46240234 time/batch=1.02s
96/38951 (epoch 0.246) train_loss=524.03698730 time/batch=0.69s
97/38951 (epoch 0.249) train_loss=828.26293945 time/batch=0.99s
98/38951 (epoch 0.252) train_loss=420.46255493 time/batch=0.61s
99/38951 (epoch 0.254) train_loss=226.46650696 time/batch=0.32s
100/38951 (epoch 0.257) train_loss=617.93811035 time/batch=0.72s
101/38951 (epoch 0.259) train_loss=495.42584229 time/batch=0.66s
102/38951 (epoch 0.262) train_loss=595.38024902 time/batch=0.74s
103/38951 (epoch 0.264) train_loss=333.48303223 time/batch=0.47s
104/38951 (epoch 0.267) train_loss=206.99002075 time/batch=0.30s
105/38951 (epoch 0.270) train_loss=189.49932861 time/batch=0.26s
106/38951 (epoch 0.272) train_loss=669.19445801 time/batch=0.80s
107/38951 (epoch 0.275) train_loss=321.94393921 time/batch=0.48s
108/38951 (epoch 0.277) train_loss=431.53179932 time/batch=0.57s
109/38951 (epoch 0.280) train_loss=705.13110352 time/batch=0.85s
110/38951 (epoch 0.282) train_loss=379.37295532 time/batch=0.54s
111/38951 (epoch 0.285) train_loss=907.90966797 time/batch=1.09s
112/38951 (epoch 0.288) train_loss=305.66067505 time/batch=0.49s
113/38951 (epoch 0.290) train_loss=310.63012695 time/batch=0.41s
114/38951 (epoch 0.293) train_loss=953.46527100 time/batch=1.09s
115/38951 (epoch 0.295) train_loss=899.27014160 time/batch=1.18s
116/38951 (epoch 0.298) train_loss=529.64794922 time/batch=0.74s
117/38951 (epoch 0.300) train_loss=672.37536621 time/batch=0.82s
118/38951 (epoch 0.303) train_loss=547.67626953 time/batch=0.71s
119/38951 (epoch 0.306) train_loss=671.48071289 time/batch=0.84s
120/38951 (epoch 0.308) train_loss=300.71728516 time/batch=0.44s
121/38951 (epoch 0.311) train_loss=359.16485596 time/batch=0.47s
122/38951 (epoch 0.313) train_loss=256.87048340 time/batch=0.36s
123/38951 (epoch 0.316) train_loss=982.86712646 time/batch=1.18s
124/38951 (epoch 0.318) train_loss=485.90655518 time/batch=0.71s
125/38951 (epoch 0.321) train_loss=1048.02844238 time/batch=1.24s
126/38951 (epoch 0.323) train_loss=421.94549561 time/batch=0.64s
127/38951 (epoch 0.326) train_loss=582.28442383 time/batch=0.72s
128/38951 (epoch 0.329) train_loss=769.52215576 time/batch=0.93s
129/38951 (epoch 0.331) train_loss=618.12890625 time/batch=0.81s
130/38951 (epoch 0.334) train_loss=213.56286621 time/batch=0.35s
131/38951 (epoch 0.336) train_loss=225.26902771 time/batch=0.30s
132/38951 (epoch 0.339) train_loss=279.29107666 time/batch=0.37s
133/38951 (epoch 0.341) train_loss=628.57238770 time/batch=0.75s
134/38951 (epoch 0.344) train_loss=394.66784668 time/batch=0.55s
135/38951 (epoch 0.347) train_loss=569.98803711 time/batch=0.71s
136/38951 (epoch 0.349) train_loss=888.30383301 time/batch=1.10s
137/38951 (epoch 0.352) train_loss=451.75003052 time/batch=0.68s
138/38951 (epoch 0.354) train_loss=531.31036377 time/batch=0.68s
139/38951 (epoch 0.357) train_loss=483.67526245 time/batch=0.64s
140/38951 (epoch 0.359) train_loss=256.82897949 time/batch=0.38s
141/38951 (epoch 0.362) train_loss=627.92388916 time/batch=0.74s
142/38951 (epoch 0.365) train_loss=519.43133545 time/batch=0.69s
143/38951 (epoch 0.367) train_loss=773.36480713 time/batch=0.93s
144/38951 (epoch 0.370) train_loss=490.42980957 time/batch=0.67s
145/38951 (epoch 0.372) train_loss=866.07910156 time/batch=1.06s
146/38951 (epoch 0.375) train_loss=667.57342529 time/batch=0.86s
147/38951 (epoch 0.377) train_loss=496.44378662 time/batch=0.66s
148/38951 (epoch 0.380) train_loss=429.15951538 time/batch=0.58s
149/38951 (epoch 0.383) train_loss=290.61694336 time/batch=0.40s
150/38951 (epoch 0.385) train_loss=553.74548340 time/batch=0.68s
151/38951 (epoch 0.388) train_loss=221.40419006 time/batch=0.34s
152/38951 (epoch 0.390) train_loss=674.98046875 time/batch=0.80s
153/38951 (epoch 0.393) train_loss=335.24530029 time/batch=0.50s
154/38951 (epoch 0.395) train_loss=598.46392822 time/batch=0.73s
155/38951 (epoch 0.398) train_loss=560.94213867 time/batch=0.73s
156/38951 (epoch 0.400) train_loss=723.20349121 time/batch=0.90s
157/38951 (epoch 0.403) train_loss=611.19555664 time/batch=0.80s
